temperature,pH V,solution volume,weight,salinity,Buffer pH,Buffer pH V
,,,100.0,30.8,7.0,-0.016563005462813196
29.017851742210993,-0.05500167851802118,0,,,,
29.051718464947374,-0.05745487838373974,0,,,,
29.119452936108814,-0.057658009582811975,0,,,,
29.119452936108814,-0.058079897457808165,0,,,,
29.221057207225474,-0.05804864650410474,0,,,,
29.153320684554146,-0.057892391735587634,0,,,,
29.2549259814725,-0.05845490890224921,0,,,,
29.288795097674072,-0.05782988982818079,0,,,,
29.32266455584071,-0.058220526749473554,0,,,,
29.356534355982546,-0.05782988982818079,0,,,,
29.762998635533208,-0.004203253273110142,0.5,,,,
29.79687288229736,-0.0014375438703573718,0.5,,,,
29.79687288229736,-4.687643055513169e-05,0.5,,,,
29.79687288229736,0.002421948912015137,0.5,,,,
29.898497675353823,0.006968962675862911,0.5,,,,
29.898497675353823,0.005093905453657644,0.5,,,,
29.898497675353823,0.005406414990691855,0.5,,,,
29.932373290661605,0.007000213629566332,0.5,,,,
29.932373290661605,0.007922116763817256,0.5,,,,
29.932373290661605,0.008969023712881864,0.5,,,,
30.23726922696253,0.040376232184820095,1.0,,,,
30.27114826435593,0.04187627796258431,1.0,,,,
30.23726922696253,0.04436072878200629,1.0,,,,
30.27114826435593,0.04062623981444746,1.0,,,,
30.27114826435593,0.04076686910611286,1.0,,,,
30.305027644014782,0.0406731162450026,1.0,,,,
30.23726922696253,0.04998590044862209,1.0,,,,
30.27114826435593,0.038751182592242195,1.0,,,,
30.27114826435593,0.037329264198736535,1.0,,,,
30.305027644014782,0.03965746024964141,1.0,,,,
30.305027644014782,0.06875209814752647,1.5,,,,
30.305027644014782,0.06876772362437818,1.5,,,,
30.305027644014782,0.0707052827539903,1.5,,,,
30.305027644014782,0.06861146885586109,1.5,,,,
30.305027644014782,0.06925211340678122,1.5,,,,
30.305027644014782,0.06873647267067476,1.5,,,,
30.305027644014782,0.06917398602252267,1.5,,,,
30.305027644014782,0.07004901272621844,1.5,,,,
30.27114826435593,0.06912710959196754,1.5,,,,
30.27114826435593,0.06915836054567095,1.5,,,,
30.305027644014782,0.1338790856654561,2.0,,,,
30.27114826435593,0.13737919248023928,2.0,,,,
30.305027644014782,0.13422284615619373,2.0,,,,
30.27114826435593,0.13305093539231544,2.0,,,,
30.27114826435593,0.13412909329508346,2.0,,,,
30.305027644014782,0.13409784234138006,2.0,,,,
30.27114826435593,0.13439472640156255,2.0,,,,
30.33890736594959,0.13406659138767663,2.0,,,,
30.27114826435593,0.1335509506515702,2.0,,,,
